award,describe,evaluate,instruce,movie_name,serial_number,start
"第67届奥斯卡金像奖最佳摄影约翰·托尔,第67届奥斯卡金像奖最佳音响(提名)大卫·E·坎贝尔保罗·马瑟DouglasGantonChrisDavid,第67届奥斯卡金像奖最佳艺术指导(提名)莉莉·基尔弗特DorreeCooper",传奇，不是每个人都可以拥有。,217780人评价,1994/美国/剧情爱情战争西部,燃情岁月,209,8.8
,永远的小人物，伟大的卓别林。,92040人评价,1931/美国/喜剧剧情爱情,城市之光,210,9.3
"第30届日本电影学院奖最佳动画片,第31届报知映画赏特别奖细田守",爱上未来的你。 ,300279人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,211,8.6
"第28届台北金马影展金马奖最佳剧情片,第28届台北金马影展金马奖最佳导演(提名)杨德昌,第4届东京国际电影节主竞赛单元最佳影片(提名)杨德昌",弱者送给弱者的一刀。,188174人评价,1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,212,8.8
"第64届威尼斯电影节金狮奖李安,第65届金球奖电影类最佳外语片(提名),第44届台北金马影展金马奖最佳剧情片",假戏真情，爱欲深海,496278人评价,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,色，戒,213,8.5
"第29届台北金马影展金马奖最佳女主角(提名)张曼玉,第12届香港电影金像奖最佳女主角(提名)张曼玉,第1届北京大学生电影节最佳观赏效果奖",嬉笑怒骂，调风动月。,323861人评价,1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,214,8.6
"第82届奥斯卡金像奖最佳影片(提名)劳伦斯·班德,第62届戛纳电影节主竞赛单元金棕榈奖(提名)昆汀·塔伦蒂诺,第67届金球奖电影类最佳剧情片(提名)",昆汀同学越来越变态了，比北野武还杜琪峰。,358330人评价,2009/德国美国/剧情犯罪,无耻混蛋,215,8.6
"第13届香港电影金像奖最佳美术指导(提名)雷楚雄,第13届香港电影金像奖最佳服装造型设计(提名)张叔平吴宝玲,第13届香港电影金像奖最佳原创电影音乐(提名)黄霑雷颂德",人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,376605人评价,1993/中国香港中国大陆/剧情爱情奇幻古装,青蛇,216,8.5
"第2届豆瓣电影鑫像奖鑫豆单元最佳影片(外语)(提名),第2届豆瓣电影鑫像奖鑫豆单元最佳导演(外语)(提名)邓肯·琼斯",邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,614506人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,217,8.4
"第3届豆瓣电影年度榜单评分最高的外语电影(提名),第3届豆瓣电影年度榜单最受关注的非院线电影(提名),第3届豆瓣电影年度榜单评分最高的欧洲电影(提名)",来啊，互相伤害啊！,408596人评价,2016/意大利/剧情喜剧,完美陌生人,218,8.5
"第28届台北金马影展金马奖最佳剧情片(提名),第28届台北金马影展金马奖最佳导演王家卫,第10届香港电影金像奖最佳电影",王家卫是一种风格，张国荣是一个代表。,366360人评价,1990/中国香港/犯罪剧情爱情,阿飞正传,219,8.5
第32届日本电影学院奖最佳外语片(提名),用剩余不多的时间，去燃烧整个生命。,274413人评价,2007/美国/冒险喜剧剧情,遗愿清单,220,8.6
"第79届奥斯卡金像奖最佳男主角(提名)莱昂纳多·迪卡普里奥,第79届奥斯卡金像奖最佳男配角(提名)杰曼·翰苏,第64届金球奖电影类剧情片最佳男主角(提名)莱昂纳多·迪卡普里奥",每个美丽事物背后都是滴血的现实。,260654人评价,2006/美国德国/剧情惊悚冒险,血钻,221,8.7
"第54届台北金马影展金马奖最佳剧情片(提名),第37届香港电影金像奖最佳两岸华语电影,第42届多伦多国际电影节亚洲电影促进联盟奖黄信尧",人们可以登上月球，却永远无法探索人们内心的宇宙。,281806人评价,2017/中国台湾/剧情喜剧,大佛普拉斯,222,8.7
"第14届MTV电影奖MTV电影奖最佳男演员(提名)马特·达蒙,第14届MTV电影奖MTV电影奖最佳动作场面(提名)",谁说王家卫镜头很晃？,264711人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,223,8.7
,一个单凭体香达到高潮的男人。,426723人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,224,8.5
,天使保护事件始末。,153215人评价,2007/印度/剧情儿童家庭,地球上的星星,225,8.9
,做一颗让别人需要你的棋子。,265269人评价,2005/美国法国/剧情犯罪,战争之王,226,8.6
,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,316191人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,227,8.6
"第88届奥斯卡金像奖最佳影片(提名)道格·米切尔乔治·米勒,第73届金球奖电影类最佳剧情片(提名),第69届英国电影学院奖电影奖最佳摄影(提名)约翰·希尔",“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,376299人评价,2015/澳大利亚美国/动作科幻冒险,疯狂的麦克斯4：狂暴之路,228,8.6
,,398822人评价,1994/中国香港/剧情喜剧古装,九品芝麻官,229,8.5
"第32届日本电影学院奖最佳女配角(提名)树木希林,第3届亚洲电影大奖最佳导演是枝裕和,第33届报知映画赏最佳女配角树木希林",日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,186644人评价,2008/日本/剧情家庭,步履不停,230,8.8
"第24届哥谭独立电影奖独立电影人奖(提名)詹姆斯·沃德·布柯特,第1届豆瓣电影年度榜单10月最受关注电影(提名),第5届豆瓣电影鑫像奖鑫豆单元最佳影片(外语)(提名)",小成本大魅力。,370000人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,231,8.5
"第69届奥斯卡金像奖最佳改编剧本(提名)约翰·霍奇,第49届英国电影学院奖电影奖最佳英国影片(提名)丹尼·博伊尔安德鲁·麦克唐纳,第49届英国电影学院奖电影奖最佳改编剧本约翰·霍奇",不可猜的青春迷笛。 ,342381人评价,1996/英国/剧情犯罪,猜火车,232,8.5
"第78届奥斯卡金像奖最佳艺术指导(提名)斯蒂芬妮·麦克米兰斯图尔特·克莱格,第59届英国电影学院奖电影奖最佳化妆发型(提名)尼克·杜德曼阿曼达·奈特恩雅·芬奈尔,第15届MTV电影奖MTV电影奖最佳银幕组合(提名)艾玛·沃森丹尼尔·雷德克里夫鲁伯特·格林特",,364118人评价,2005/英国美国/奇幻冒险,哈利·波特与火焰杯,233,8.5
"第81届奥斯卡金像奖最佳影片(提名)雷德芒德·莫瑞斯西德尼·波拉克安东尼·明格拉唐娜·吉格里奥蒂,第66届金球奖电影类最佳剧情片(提名),第22届欧洲电影奖最佳影片(提名)",当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,373685人评价,2008/美国德国/剧情爱情,朗读者,234,8.6
"第21届欧洲电影奖观众选择奖(提名),第21届欧洲电影奖最佳男主角(提名)于尔根·福格尔",世界离独裁只有五天。,206912人评价,2008/德国/剧情惊悚,浪潮,235,8.7
"第61届印度电影观众奖最佳故事维杰耶德拉·普拉萨德,第2届豆瓣电影年度榜单评分最高的外语电影(提名),第6届豆瓣电影鑫像奖鑫豆单元最佳影片(外语)(提名)",宝莱坞的萝莉与大叔。,363503人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,236,8.4
"第87届奥斯卡金像奖最佳原创歌曲(提名)格雷格·亚历山大丹妮尔·布里瑟布瓦,第17届上海国际电影节金爵奖最佳影片(提名)约翰·卡尼,第1届豆瓣电影年度榜单评分最高的外语电影(提名)",爱我就给我看你的播放列表。,310332人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,237,8.6
,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,93532人评价,1953/日本/剧情家庭,东京物语,238,9.2
"第17届华语电影传媒大奖最佳女主角(提名)任素汐,第17届华语电影传媒大奖最佳新演员(提名)任素汐,第3届豆瓣电影年度榜单评分最高的华语电影",过去的如果就让它过去了，未来只会越来越糟！,676566人评价,2016/中国大陆/剧情喜剧,驴得水,239,8.3
"第88届奥斯卡金像奖最佳影片迈克尔·休格史蒂夫·戈林妮可·罗克林布莱·帕冈·福斯特,第72届威尼斯电影节酷儿狮奖(提名)汤姆·麦卡锡,第73届金球奖电影类最佳剧情片(提名)",新闻人的理性求真。,212375人评价,2015/美国/剧情传记,聚焦,240,8.8
"第91届奥斯卡金像奖最佳影片(提名)格拉汉姆·金,第76届金球奖电影类最佳剧情片,第72届英国电影学院奖电影奖最佳英国影片(提名)",,419170人评价,2018/英国美国/剧情传记同性音乐,波西米亚狂想曲,241,8.7
,诺兰的牛逼来源于内心散发出的恐惧。,134620人评价,1998/英国/犯罪悬疑惊悚,追随,242,8.9
第70届奥斯卡金像奖最佳艺术指导(提名)南希·奈扬·鲁洛尔夫斯,一部能引人思考的科幻励志片。,179456人评价,1997/美国/剧情科幻惊悚,千钧一发,243,8.8
"第48届韩国电影大钟奖最佳男主角(提名)李顺载,第48届韩国电影大钟奖最佳女主角(提名)尹秀晶,第48届韩国电影大钟奖最佳女配角(提名)金秀美",你要相信，这世上真的有爱存在，不管在什么年纪 ,113090人评价,2011/韩国/剧情爱情,我爱你,244,9.0
"第84届奥斯卡金像奖最佳原创剧本(提名)阿斯哈·法哈蒂,第61届柏林国际电影节金熊奖最佳影片阿斯哈·法哈蒂,第69届金球奖电影类最佳外语片阿斯哈·法哈蒂",只有有信仰的人才能说出事实真相。,199349人评价,2011/伊朗法国/剧情家庭,一次别离,245,8.7
"第74届奥斯卡金像奖最佳导演(提名)雷德利·斯科特,第74届奥斯卡金像奖最佳摄影(提名)斯拉沃米尔·埃迪扎克,第2届美国电影学会奖年度佳片",还原真实而残酷的战争。,214169人评价,2001/美国/动作历史战争,黑鹰坠落,246,8.7
"第55届台北金马影展金马奖最佳剪辑(提名)陆庆屹周肖林郜子瑜江亦隽,第12届FIRST青年电影展竞赛最佳纪录长片陆庆屹,第6届豆瓣电影年度榜单评分最高的纪录片(提名)",来也匆匆去也匆匆，就这样风雨兼程。,121375人评价,2017/中国大陆/纪录片家庭,四个春天,247,8.9
"第34届圣丹斯电影节观众奖未来创新奖阿尼什·查甘蒂,第71届洛迦诺国际电影节VarietyPiazzaGrandeAward(提名)阿尼什·查甘蒂,第90届美国国家评论协会奖十佳独立电影",,389540人评价,2018/美国俄罗斯/剧情犯罪悬疑惊悚,网络谜踪,248,8.6
,一个精彩的世界观正在缓缓建立。,263380人评价,2003/美国澳大利亚/动作科幻,黑客帝国2：重装上阵,249,8.6
"第44届奥斯卡金像奖最佳影片(提名)斯坦利·库布里克,第44届奥斯卡金像奖最佳导演(提名)斯坦利·库布里克,第33届威尼斯电影节帕西内蒂奖最佳外国电影斯坦利·库布里克",我完全康复了。,284649人评价,1971/英国美国/犯罪剧情科幻,发条橙,250,8.6
